Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-12-31 15:19:10,true,"Piatra Neamt Trail Running","10.08","929","01:28:44","143","165","3.7","143","256","8:48","5:14","687","693","0.78","9.7","7.6","368","47.9% L / 52.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","00:28.66.9","11","0.0","34","18","45","01:28:35","01:28:44","349","655"
Hiking,2021-12-29 14:57:58,true,"Piatra Neamt Hiking","7.40","475","01:43:12","95","119","1.0","102","248","13:57","8:21","361","368","0.71","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","2.0","0:00","No","01:43:11.61.9","1","0.0","23","12","32","01:37:22","01:43:12","341","659"
Virtual Cycling,2021-12-26 19:23:05,true,"Thio Virtual Cycling","27.31","657","00:53:15","140","159","--","0","0","30.8","65.8","262","--","0.00","0.0","0.0","0","--","81","144","221","0.0","235","215","342","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","53:15.00","1","0.0","--","--","--","00:53:13","00:53:14","10","121"
Hiking,2021-12-25 12:02:17,true,"Piatra Neamt Hiking","8.25","581","01:38:28","107","145","2.2","104","250","11:56","7:36","373","376","0.80","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","No","01:38:27.92.3","1","0.0","--","--","--","01:36:21","01:38:28","351","659"
Trail Running,2021-12-23 13:14:26,true,"Piatra Neamt Trail Running","12.10","960","01:26:54","141","173","3.8","164","226","7:11","4:47","573","577","0.83","8.9","7.4","291","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","2.0","0:00","No","00:38.60.1","13","0.0","34","14","49","01:26:46","01:26:54","343","679"
Trail Running,2021-12-20 14:59:32,true,"Piatra Neamt Trail Running","12.32","975","01:48:39","123","166","3.0","135","228","8:49","4:44","894","900","0.82","9.7","7.9","332","47.5% L / 52.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","6.0","0:00","No","01:45.05.2","13","0.0","31","15","44","01:46:57","01:48:39","351","663"
Trail Running,2021-12-19 09:04:13,true,"Piatra Neamt Trail Running","11.41","853","01:24:12","130","163","3.2","159","256","7:23","4:47","498","498","0.84","9.0","7.6","288","48.1% L / 51.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","5.0","0:00","No","02:18.42.5","12","0.0","31","15","46","01:23:14","01:26:22","346","678"
Trail Running,2021-12-15 15:04:23,true,"Piatra Neamt Trail Running","13.12","1,068","01:29:13","146","174","4.0","169","231","6:48","4:18","732","725","0.85","9.4","7.9","274","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","6.0","0:00","No","00:45.49.1","14","0.0","36","13","48","01:27:49","01:29:13","350","659"
Virtual Cycling,2021-12-12 18:38:41,true,"Innsbruck Virtual Cycling","24.15","627","00:58:41","138","161","--","0","0","24.7","91.1","495","--","0.00","0.0","0.0","0","--","76","158","192","0.0","200","186","348","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","58:41.00","1","0.0","--","--","--","00:58:33","00:58:40","279","696"
Hiking,2021-12-10 15:33:39,true,"Piatra Neamt Hiking","7.24","563","01:35:15","108","156","2.6","108","245","13:10","9:39","342","342","0.70","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","7.0","0:00","No","01:35:14.96.2","1","0.0","--","--","--","01:34:27","01:35:15","351","658"
Trail Running,2021-12-08 15:30:12,true,"Piatra Neamt Trail Running","12.01","1,034","01:27:49","143","165","3.7","164","256","7:19","4:39","557","533","0.82","10.1","8.1","293","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","3.0","0:00","No","00:02.66.3","13","0.0","34","18","45","01:27:39","01:27:49","324","659"
